Name,Address,Phone,Website,Hours,Type,Info
NYS Gambling E-Screener,,,https://nyproblemgamblinghelp.org/e-screener/,27/4,Gambling Resources,Complete a free anonymous Problem Gambling Screener and get personalized feedback and resources
New York State Gambler's Hotline,,tel:18778467369,"https://oasas.ny.gov/gambling?utm_medium=Search&utm_source=Google&utm_campaign=OASAS,ProbGambling23&gclid=CjwKCAjwyqWkBhBMEiwAp2yUFpSs38Yftkuon8La2jAUNcChgardvclPQTbtnW-EkaaR7Ra6pH6lbBoChMMQAvD_BwE",,Gambling Resources,Confidential hotline - referral to nearest treatment center - co-morbid substance use support
National Gambler Support Line,,tel:18004262537,https://www.ncpgambling.org/help-treatment/chat/,,Gambling Resources,Free and Confidential Hotline - Click the link above to Chat online now - Text 800GAM
Gamblers Anonymous,,,https://www.gamblersanonymous.org/ga/content/about-us,,Gambling Resources,"GAMBLERS ANONYMOUS is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from a gambling problem"
Gam-Anon,,,https://www.gam-anon.org/,,Gambling Resources,Provides information for the general public and professional community about problem (compulsive) gambling and its financial and emotional effects on the gamblers' families and loved ones.
OASAS Problem Gambling Treatment Locator,,,https://webapps.oasas.ny.gov/providerDirectory/index.cfm#:~:text=Problem%20Gambling%20Treatment%20and%20Prevention,24/7,Gambling Resources,Locate treatment services for Problem Gambling in NYS
Albany Med Young Adult Program,"22 New Scotland Ave, Albany NY 12208: 3rd Floor",tel:5182629789,https://www.albanymed.org/specialty/pediatric-hiv-aids/,M-F 9am-3:30pm,Sexual Health,"HIV/STI testing and treatment - HIV/STI support, treatment, and counseling - mental health and substance use evaluations and support "
Alliance for Positive Health,"927 Broadway, Albany NY, 12207
155 Erie Blvd, Schenectady NY, 12305",tel:518917 3055,https://www.allianceforpositivehealth.org/ ,M-F: 9 AM - 5 PM,Sexual Health,"Free and confidential - testing for HIV/STIs - housing, medical, substance use and nutrition care and support groups"
Damien Center,"728 Madison Ave, Suite 100, Albany, NY 12208  ",tel:5184497119,http://albanydamiencenter.org,,Sexual Health,Free support and resources for those who test positive for HIV
Upper Hudson Planned Parenthood,"855 Central Ave, Albany, NY 12206",tel:5184340732 ,https://www.plannedparenthood.org/planned-parenthood-upper-hudson,,Sexual Health,"HIV/STI testing and treatment - gynecological services - gender affirming care - mental health, domestic violence, and substance use assessment and support"
Whitney Young Health,"920 Lark Dr, Albany NY 12207
Women's Health Office: 526 Central Ave",tel:5184654771 ,https://www.wmyhealth.org/,M-F Walk-in Testing Appts 8am-4:30pm,Sexual Health,HIV/STI testing and treatment - primary care - dental care - substance use and mental health support
Pride Center of the Capital Region,"332 Hudson Ave, Albany NY 12210",tel:5184626138,https://www.capitalpridecenter.org,Drop in hours: T-F: 12 PM - 4 PM,Sexual Health,HIV/STI testing events - free counseling and case management - community events and trainings
Student Health Services ,Health and Counseling Services Building (ground level of Dutch Quad),tel:5184425454,https://www.albany.edu/health_center/,"Fall/Spring: M-F: 9 AM - 12 PM, 1 PM - 4:30 PM; Summer/Winter: M-F: 8 AM - 12 PM, 1 PM - 3:30 PM",Sexual Health,Referrals to outside lab for HIV and STI testing - immunizations
New York State Support Line,,tel:8448639314,https://www.nypl.org/sites/default/files/resources_available_for_new_yorkers_via_telephone_0.pdf,,Hotlines,Mental health counseling - resources for New Yorkers
New York State Gambler's Hotline,,tel:18778467369,"https://oasas.ny.gov/gambling?utm_medium=Search&utm_source=Google&utm_campaign=OASAS,ProbGambling23&gclid=CjwKCAjwyqWkBhBMEiwAp2yUFpSs38Yftkuon8La2jAUNcChgardvclPQTbtnW-EkaaR7Ra6pH6lbBoChMMQAvD_BwE",,Hotlines,Confidential hotline - referral to nearest treatment center - co-morbid substance use support
24-Hour Sexual Assault Hotline,,tel:5184477716,https://www.albanycounty.com/departments/crime-victim-and-sexual-violence-center/what-we-do/support-for-college-students,,Hotlines,Confidential sexual assault hotline - counseling - emergency room accompaniment - medical and legal advocacy
New York State Smoker's Quitline,,tel:8666978487 ,"https://www.nysmokefree.com/#:~:text=Call%201%2D866%2DNY%2D,866%2D697%2D8487).","M-Th: 9 AM – 9 PM, F-Sun: 9 AM - 5 PM ",Hotlines,Hotline - support around quitting smoking and tobacco use
RAINN Sexual Violence,,tel:8006564673,https://centers.rainn.org,,Hotlines,24/7 hotline - confidential sexual assault hotline - live web chat
National Gambler Support Line,,tel:18004262537,https://www.ncpgambling.org/help-treatment/chat/,,Hotlines,Free and Confidential Hotline - Click the link above to Chat online now - Text 800GAM
